Image_IDs,Visible_Percent,Ground_Control,Satellite_Azimuth,Date,Time_UTC
20210308_182348_1034,100,TRUE,180.6,3/8/2021,23:48.9
20210308_182349_1034,100,TRUE,180.6,3/8/2021,23:49.9
20210308_184948_96_2414,100,TRUE,278.1,3/8/2021,49:49.0
20210308_184951_23_2414,100,TRUE,278.1,3/8/2021,49:51.2
20210309_182504_1038,100,TRUE,275.8,3/9/2021,25:04.2
20210309_182505_1038,100,TRUE,275.7,3/9/2021,25:05.2
20210309_184946_17_227c,99,TRUE,278.1,3/9/2021,49:46.2
20210309_184948_51_227c,100,TRUE,278.1,3/9/2021,49:48.5
20210309_185018_28_240c,97,TRUE,277.8,3/9/2021,50:18.3
20210311_182220_1025,58,TRUE,107.2,3/11/2021,22:21.0
20210311_182222_1025,55,TRUE,106.2,3/11/2021,22:22.0
20210313_175600_37_2463,53,TRUE,101,3/13/2021,56:00.4
20210313_175822_53_241d,100,TRUE,277.1,3/13/2021,58:22.5
20210313_175824_89_241d,90,TRUE,277.1,3/13/2021,58:24.9
20210314_175358_19_2420,72,TRUE,100.5,3/14/2021,53:58.2
20210315_153847_100d,100,TRUE,85.1,3/15/2021,38:47.5
20210315_153848_100d,88,TRUE,85.1,3/15/2021,38:48.4
20210316_153949_1020,100,TRUE,186.2,3/16/2021,39:49.5
20210316_153950_1020,100,TRUE,191.3,3/16/2021,39:50.4
20210316_153951_1020,100,TRUE,191.3,3/16/2021,39:51.3
20210316_190635_69_1057,100,TRUE,277.5,3/16/2021,06:35.7
20210317_184809_41_241c,57,TRUE,276.1,3/17/2021,48:09.4
20210317_184811_76_241c,99,TRUE,276.2,3/17/2021,48:11.8
20210319_175517_15_2432,97,TRUE,102.3,3/19/2021,55:17.2
20210319_175519_48_2432,96,TRUE,102.3,3/19/2021,55:19.5
20210319_175641_74_242b,94,TRUE,268.6,3/19/2021,56:41.7
20210319_175644_08_242b,97,TRUE,268.9,3/19/2021,56:44.1
20210319_175842_14_2440,83,TRUE,274.8,3/19/2021,58:42.1
20210319_175844_44_2440,74,TRUE,274.6,3/19/2021,58:44.4
20210319_182219_100a,100,TRUE,101.7,3/19/2021,22:19.6
20210319_182220_100a,100,TRUE,101.6,3/19/2021,22:20.6
20210320_154058_0f32,100,TRUE,260.3,3/20/2021,40:58.5
20210320_154059_0f32,100,TRUE,260.3,3/20/2021,40:59.4
20210320_180805_59_2259,100,TRUE,277.5,3/20/2021,08:05.6
20210320_180807_77_2259,100,TRUE,277.5,3/20/2021,08:07.8
20210320_181913_56_106e,100,TRUE,260.3,3/20/2021,19:13.6
20210320_181915_60_106e,100,TRUE,260.2,3/20/2021,19:15.6
20210321_153805_104b,100,TRUE,83.3,3/21/2021,38:05.1
20210321_153806_1_104b,100,TRUE,83.7,3/21/2021,38:06.9
20210321_153806_104b,100,TRUE,83.7,3/21/2021,38:06.0
20210321_185012_18_2414,99,TRUE,277.6,3/21/2021,50:12.2
20210321_185014_45_2414,100,TRUE,277.5,3/21/2021,50:14.5
20210322_175857_25_2459,100,TRUE,277.4,3/22/2021,58:57.3
20210322_175859_60_2459,100,TRUE,277.6,3/22/2021,58:59.6
20210323_175415_31_2464,85,TRUE,100.7,3/23/2021,54:15.3
20210323_175454_71_245a,62,TRUE,101.9,3/23/2021,54:54.7
20210326_182104_1001,85,TRUE,101.7,3/26/2021,21:04.3
20210326_182105_1001,96,TRUE,101.7,3/26/2021,21:05.3
20210326_184845_09_2416,90,TRUE,277,3/26/2021,48:45.1
20210326_184847_45_2416,99,TRUE,277.1,3/26/2021,48:47.5
20210327_175857_05_2462,100,TRUE,277.5,3/27/2021,58:57.1
20210327_175859_39_2462,100,TRUE,277.5,3/27/2021,58:59.4
20210327_180241_33_2441,100,TRUE,100.6,3/27/2021,02:41.3
20210327_180243_61_2441,100,TRUE,101.2,3/27/2021,02:43.6
20210328_181838_36_1065,100,TRUE,259.7,3/28/2021,18:38.4
20210328_181840_39_1065,100,TRUE,259.7,3/28/2021,18:40.4
20210329_153822_1054,62,TRUE,92.3,3/29/2021,38:22.3
20210329_153823_1054,99,TRUE,92.3,3/29/2021,38:23.1
20210329_153824_1054,100,TRUE,92.3,3/29/2021,38:24.0
20210329_175616_10_2212,100,TRUE,102.9,3/29/2021,56:16.1
